,States,Years,Quarter,Transaction_type,Transaction_count,Transaction_amount
30,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171737.705916681
31,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101079821.10344616
32,andaman-&-nicobar-islands,2019,3,Merchant payments,3519,4428734.574846684
33,andaman-&-nicobar-islands,2019,3,Financial Services,50,158857.94315586874
34,andaman-&-nicobar-islands,2019,3,Others,215,232624.75992853564
35,andaman-&-nicobar-islands,2019,4,Peer-to-peer payments,18128,121493224.30754511
36,andaman-&-nicobar-islands,2019,4,Recharge & bill payments,13851,9538690.916424634
37,andaman-&-nicobar-islands,2019,4,Merchant payments,2920,5247500.487902376
38,andaman-&-nicobar-islands,2019,4,Financial Services,60,295937.2110898865
39,andaman-&-nicobar-islands,2019,4,Others,200,263177.5944158883
40,andaman-&-nicobar-islands,2020,1,Peer-to-peer payments,18324,142332401.79234773
41,andaman-&-nicobar-islands,2020,1,Recharge & bill payments,18268,10850414.023977457
42,andaman-&-nicobar-islands,2020,1,Merchant payments,4424,7752871.558217709
43,andaman-&-nicobar-islands,2020,1,Financial Services,66,208231.73071652642
44,andaman-&-nicobar-islands,2020,1,Others,216,332393.19201521645
45,andaman-&-nicobar-islands,2020,2,Recharge & bill payments,38125,17659622.73418829
46,andaman-&-nicobar-islands,2020,2,Peer-to-peer payments,20303,141728757.73517442
47,andaman-&-nicobar-islands,2020,2,Merchant payments,4004,9236375.740471343
48,andaman-&-nicobar-islands,2020,2,Financial Services,175,706932.1397115812
49,andaman-&-nicobar-islands,2020,2,Others,355,313313.0646014327
50,andaman-&-nicobar-islands,2020,3,Recharge & bill payments,59310,24756220.875469353
51,andaman-&-nicobar-islands,2020,3,Peer-to-peer payments,40697,289078946.7312394
52,andaman-&-nicobar-islands,2020,3,Merchant payments,16096,22682992.238478824
53,andaman-&-nicobar-islands,2020,3,Financial Services,572,961836.7129860274
54,andaman-&-nicobar-islands,2020,3,Others,808,539449.7721868362
55,andaman-&-nicobar-islands,2020,4,Peer-to-peer payments,81439,533316526.1814983
56,andaman-&-nicobar-islands,2020,4,Recharge & bill payments,80811,33710030.534383245
57,andaman-&-nicobar-islands,2020,4,Merchant payments,59391,56867468.940003954
58,andaman-&-nicobar-islands,2020,4,Financial Services,965,1880546.9672370641
59,andaman-&-nicobar-islands,2020,4,Others,1925,1508083.6917299272
60,andaman-&-nicobar-islands,2021,1,Peer-to-peer payments,105458,665391395.715478
61,andaman-&-nicobar-islands,2021,1,Recharge & bill payments,84119,37160922.86506996
62,andaman-&-nicobar-islands,2021,1,Merchant payments,53090,78606979.05751458
63,andaman-&-nicobar-islands,2021,1,Financial Services,884,1469351.0852598653
64,andaman-&-nicobar-islands,2021,1,Others,1201,1077918.666433228
65,andaman-&-nicobar-islands,2021,2,Peer-to-peer payments,132772,748382044.7707307
66,andaman-&-nicobar-islands,2021,2,Recharge & bill payments,120911,43691961.26275121
67,andaman-&-nicobar-islands,2021,2,Merchant payments,85143,103707408.50908463
68,andaman-&-nicobar-islands,2021,2,Financial Services,960,2038521.5136710338
69,andaman-&-nicobar-islands,2021,2,Others,1628,1327080.0560584562
70,andaman-&-nicobar-islands,2021,3,Peer-to-peer payments,192321,1077787837.1562996
71,andaman-&-nicobar-islands,2021,3,Recharge & bill payments,136010,51243450.85925055
72,andaman-&-nicobar-islands,2021,3,Merchant payments,118340,176991328.21761328
73,andaman-&-nicobar-islands,2021,3,Financial Services,990,2351013.441729573
74,andaman-&-nicobar-islands,2021,3,Others,2103,1650766.1267105162
75,andaman-&-nicobar-islands,2021,4,Peer-to-peer payments,285778,1544932663.2744582
76,andaman-&-nicobar-islands,2021,4,Merchant payments,210164,322842314.62433755
77,andaman-&-nicobar-islands,2021,4,Recharge & bill payments,135608,59243518.11464358
78,andaman-&-nicobar-islands,2021,4,Financial Services,1718,3137965.167474068
79,andaman-&-nicobar-islands,2021,4,Others,2855,2453640.142743944
80,andaman-&-nicobar-islands,2022,1,Peer-to-peer payments,342649,1682328505.7254477
81,andaman-&-nicobar-islands,2022,1,Merchant payments,284298,370091558.68373305
82,andaman-&-nicobar-islands,2022,1,Recharge & bill payments,163401,71300133.66101266
83,andaman-&-nicobar-islands,2022,1,Financial Services,1757,2869682.0229511866
84,andaman-&-nicobar-islands,2022,1,Others,2643,2440321.9820225406
85,andaman-&-nicobar-islands,2022,2,Merchant payments,449540,510838980.9061847
86,andaman-&-nicobar-islands,2022,2,Peer-to-peer payments,437606,2088309073.4552848
87,andaman-&-nicobar-islands,2022,2,Recharge & bill payments,179515,82232936.61795366
88,andaman-&-nicobar-islands,2022,2,Financial Services,1448,2089862.3927160464
89,andaman-&-nicobar-islands,2022,2,Others,3108,2449496.7081265687
90,andaman-&-nicobar-islands,2022,3,Merchant payments,716105,693438186.296541
91,andaman-&-nicobar-islands,2022,3,Peer-to-peer payments,622217,2514535154.56483
92,andaman-&-nicobar-islands,2022,3,Recharge & bill payments,240766,97748065.62714244
93,andaman-&-nicobar-islands,2022,3,Financial Services,1814,2166304.9779766416
94,andaman-&-nicobar-islands,2022,3,Others,3477,2744060.670897343
95,andaman-&-nicobar-islands,2022,4,Merchant payments,956536,906365300.6585041
96,andaman-&-nicobar-islands,2022,4,Peer-to-peer payments,768758,2961630584.8271313
97,andaman-&-nicobar-islands,2022,4,Recharge & bill payments,256050,110037119.66941178
98,andaman-&-nicobar-islands,2022,4,Financial Services,2499,3533987.2301130476
99,andaman-&-nicobar-islands,2022,4,Others,3692,3107412.043626394
100,andaman-&-nicobar-islands,2023,1,Merchant payments,1122063,1008821751.0
101,andaman-&-nicobar-islands,2023,1,Peer-to-peer payments,862347,3299762230.0
102,andaman-&-nicobar-islands,2023,1,Recharge & bill payments,286024,146338470.0
103,andaman-&-nicobar-islands,2023,1,Financial Services,2515,3556954.0
104,andaman-&-nicobar-islands,2023,1,Others,3443,3049182.0
105,andaman-&-nicobar-islands,2023,2,Merchant payments,1410653,1159905474.0
106,andaman-&-nicobar-islands,2023,2,Peer-to-peer payments,970525,3664415887.0
107,andaman-&-nicobar-islands,2023,2,Recharge & bill payments,320922,158455723.0
108,andaman-&-nicobar-islands,2023,2,Financial Services,2158,4161814.0
109,andaman-&-nicobar-islands,2023,2,Others,3517,3405338.0
110,andaman-&-nicobar-islands,2023,3,Merchant payments,1657848,1289780198.0
111,andaman-&-nicobar-islands,2023,3,Peer-to-peer payments,1111211,3757627272.0
112,andaman-&-nicobar-islands,2023,3,Recharge & bill payments,323935,157992380.0
113,andaman-&-nicobar-islands,2023,3,Financial Services,2199,3850023.0
114,andaman-&-nicobar-islands,2023,3,Others,3183,2346918.0
115,andaman-&-nicobar-islands,2023,4,Merchant payments,2039888,1653303276.0
116,andaman-&-nicobar-islands,2023,4,Peer-to-peer payments,1321796,4420459049.0
117,andaman-&-nicobar-islands,2023,4,Recharge & bill payments,327460,185028400.0
118,andaman-&-nicobar-islands,2023,4,Financial Services,3276,7836466.0
119,andaman-&-nicobar-islands,2023,4,Others,3363,2925308.0
120,andaman-&-nicobar-islands,2024,1,Merchant payments,2401038,1887811915.0
121,andaman-&-nicobar-islands,2024,1,Peer-to-peer payments,1436380,4771886847.0
122,andaman-&-nicobar-islands,2024,1,Recharge & bill payments,341224,188939343.0
123,andaman-&-nicobar-islands,2024,1,Financial Services,3761,7962745.0
124,andaman-&-nicobar-islands,2024,1,Others,2517,2550985.0
125,andhra-pradesh,2018,1,Recharge & bill payments,5027448,892293975.6698562
126,andhra-pradesh,2018,1,Peer-to-peer payments,3049646,10524250283.178782
127,andhra-pradesh,2018,1,Merchant payments,362672,247297640.24000686
128,andhra-pradesh,2018,1,Financial Services,204305,44808449.7639544
129,andhra-pradesh,2018,1,Others,395514,287626042.970705
130,andhra-pradesh,2018,2,Recharge & bill payments,6456387,1598591488.4880352
131,andhra-pradesh,2018,2,Peer-to-peer payments,4745000,20451493098.8953
132,andhra-pradesh,2018,2,Merchant payments,604847,436785223.86032957
133,andhra-pradesh,2018,2,Financial Services,225621,68952114.81374599
134,andhra-pradesh,2018,2,Others,322063,328092346.575651
135,andhra-pradesh,2018,3,Peer-to-peer payments,16129591,32738630444.668724
136,andhra-pradesh,2018,3,Recharge & bill payments,7542005,1949098146.8941927
137,andhra-pradesh,2018,3,Merchant payments,1225416,685277254.5076212
138,andhra-pradesh,2018,3,Financial Services,380324,60790077.57437308
139,andhra-pradesh,2018,3,Others,348725,284248675.5700202
140,andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608
141,andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957
142,andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256
143,andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068
144,andhra-pradesh,2018,4,Others,389411,315211361.26249415
145,andhra-pradesh,2019,1,Peer-to-peer payments,37420988,77524329742.2595
146,andhra-pradesh,2019,1,Recharge & bill payments,14022264,3480641602.3771377
147,andhra-pradesh,2019,1,Merchant payments,5043682,2423536770.3706346
148,andhra-pradesh,2019,1,Financial Services,416325,47150177.52982048
149,andhra-pradesh,2019,1,Others,361263,284937624.5393019
150,andhra-pradesh,2019,2,Peer-to-peer payments,32494402,103924649232.47021
151,andhra-pradesh,2019,2,Recharge & bill payments,14093964,4708345387.9101095
152,andhra-pradesh,2019,2,Merchant payments,9226537,4613405202.681959
153,andhra-pradesh,2019,2,Financial Services,145310,26626696.771042537
154,andhra-pradesh,2019,2,Others,448802,361492238.3966455
155,andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532
156,andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906
157,andhra-pradesh,2019,3,Merchant payments,16581787,7887394038.066369
158,andhra-pradesh,2019,3,Financial Services,122270,29778183.027080443
159,andhra-pradesh,2019,3,Others,413437,298142027.58625776
160,andhra-pradesh,2019,4,Peer-to-peer payments,57181511,178893550050.68753
161,andhra-pradesh,2019,4,Merchant payments,25122370,13476303367.50486
162,andhra-pradesh,2019,4,Recharge & bill payments,24469888,8335168605.691999
163,andhra-pradesh,2019,4,Financial Services,105662,26796571.745749153
164,andhra-pradesh,2019,4,Others,338672,216496893.16102877
165,andhra-pradesh,2020,1,Peer-to-peer payments,65452143,223088554055.04755
166,andhra-pradesh,2020,1,Merchant payments,31408022,18603161784.496994
167,andhra-pradesh,2020,1,Recharge & bill payments,30449644,10813530777.973532
168,andhra-pradesh,2020,1,Financial Services,75238,43739133.169823855
169,andhra-pradesh,2020,1,Others,292310,188228538.37489766
170,andhra-pradesh,2020,2,Peer-to-peer payments,73609921,262731724130.7907
171,andhra-pradesh,2020,2,Recharge & bill payments,41013987,16991006436.573467
172,andhra-pradesh,2020,2,Merchant payments,29976765,22625596525.44269
173,andhra-pradesh,2020,2,Financial Services,140941,145274999.15679634
174,andhra-pradesh,2020,2,Others,176241,90087654.60009979
175,andhra-pradesh,2020,3,Peer-to-peer payments,106791894,406461788252.32056
176,andhra-pradesh,2020,3,Merchant payments,54055557,40739580213.86052
177,andhra-pradesh,2020,3,Recharge & bill payments,43500067,19475104674.827175
178,andhra-pradesh,2020,3,Financial Services,243088,256074924.7187529
179,andhra-pradesh,2020,3,Others,312329,151582519.18136686
180,andhra-pradesh,2020,4,Peer-to-peer payments,152003791,566639138543.7708
181,andhra-pradesh,2020,4,Merchant payments,86581460,66654048149.95168
182,andhra-pradesh,2020,4,Recharge & bill payments,46810304,20936337211.557747
183,andhra-pradesh,2020,4,Financial Services,265470,305168772.45601684
184,andhra-pradesh,2020,4,Others,457527,306853355.59473807
185,andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
186,andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
187,andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
188,andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014
189,andhra-pradesh,2021,1,Others,347907,272546457.5502677
190,andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
191,andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248
192,andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
193,andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667
194,andhra-pradesh,2021,2,Others,406842,308302224.3856007
195,andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
196,andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.16754
197,andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
198,andhra-pradesh,2021,3,Financial Services,211171,297239697.83073866
199,andhra-pradesh,2021,3,Others,547759,403948275.56756073
200,andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282
201,andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
202,andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
203,andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
204,andhra-pradesh,2021,4,Others,701856,545223415.6638832
205,andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
206,andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
207,andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
208,andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065
209,andhra-pradesh,2022,1,Others,627694,474382234.25397474
210,andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
211,andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20898
212,andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
213,andhra-pradesh,2022,2,Financial Services,192751,245783011.04455262
214,andhra-pradesh,2022,2,Others,441925,357036084.9071137
215,andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
216,andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
217,andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
218,andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045
219,andhra-pradesh,2022,3,Others,362484,323951101.5715289
220,andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848
221,andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
222,andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
223,andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048
224,andhra-pradesh,2022,4,Others,345658,339211363.0027188
225,andhra-pradesh,2023,1,Merchant payments,540680395,311606731877.0
226,andhra-pradesh,2023,1,Peer-to-peer payments,514931308,1857818168755.0
227,andhra-pradesh,2023,1,Recharge & bill payments,89143939,78817989795.0
228,andhra-pradesh,2023,1,Financial Services,288150,331233097.0
229,andhra-pradesh,2023,1,Others,488672,477193006.0
230,andhra-pradesh,2023,2,Merchant payments,634303064,349602824539.0
231,andhra-pradesh,2023,2,Peer-to-peer payments,573455382,2067288068882.0
232,andhra-pradesh,2023,2,Recharge & bill payments,97202487,88352183038.0
233,andhra-pradesh,2023,2,Financial Services,316533,386071375.0
234,andhra-pradesh,2023,2,Others,379498,409939082.0
235,andhra-pradesh,2023,3,Merchant payments,750265405,395042164275.0
236,andhra-pradesh,2023,3,Peer-to-peer payments,623202203,2163464730936.0
237,andhra-pradesh,2023,3,Recharge & bill payments,101000645,94077774967.0
238,andhra-pradesh,2023,3,Financial Services,361584,466791218.0
239,andhra-pradesh,2023,3,Others,334566,362636702.0
240,andhra-pradesh,2023,4,Merchant payments,822516631,427677236042.0
241,andhra-pradesh,2023,4,Peer-to-peer payments,673002314,2270766948881.0
242,andhra-pradesh,2023,4,Recharge & bill payments,100733697,103186953776.0
243,andhra-pradesh,2023,4,Financial Services,431705,535202901.0
244,andhra-pradesh,2023,4,Others,303079,348636223.0
245,andhra-pradesh,2024,1,Merchant payments,926373997,468462542792.0
246,andhra-pradesh,2024,1,Peer-to-peer payments,721764113,2436665736212.0
247,andhra-pradesh,2024,1,Recharge & bill payments,106564415,106646957337.0
248,andhra-pradesh,2024,1,Financial Services,427720,634184211.0
249,andhra-pradesh,2024,1,Others,298240,316249197.0
250,arunachal-pradesh,2018,1,Recharge & bill payments,28729,5184132.514934338
251,arunachal-pradesh,2018,1,Peer-to-peer payments,13320,82889682.72418305
252,arunachal-pradesh,2018,1,Merchant payments,1042,2420374.1905855755
253,arunachal-pradesh,2018,1,Financial Services,416,58893.76201533088
254,arunachal-pradesh,2018,1,Others,1990,1834252.8176908877
255,arunachal-pradesh,2018,2,Recharge & bill payments,50700,10468878.537107183
256,arunachal-pradesh,2018,2,Peer-to-peer payments,26477,181576281.19464755
257,arunachal-pradesh,2018,2,Merchant payments,2378,4718953.439561011
258,arunachal-pradesh,2018,2,Financial Services,559,363761.80159549194
259,arunachal-pradesh,2018,2,Others,2043,1842317.3691352482
260,arunachal-pradesh,2018,3,Recharge & bill payments,74122,15997565.906016497
261,arunachal-pradesh,2018,3,Peer-to-peer payments,49740,308106303.45342577
262,arunachal-pradesh,2018,3,Merchant payments,4738,5505694.567913429
263,arunachal-pradesh,2018,3,Financial Services,507,72133.845254878
264,arunachal-pradesh,2018,3,Others,2039,2044708.9687807972
265,arunachal-pradesh,2018,4,Recharge & bill payments,97751,20662691.882313278
266,arunachal-pradesh,2018,4,Peer-to-peer payments,68169,468831493.2328036
267,arunachal-pradesh,2018,4,Merchant payments,7726,11998974.1040326
268,arunachal-pradesh,2018,4,Financial Services,561,100597.90379906222
269,arunachal-pradesh,2018,4,Others,2222,2446271.9688117937
270,arunachal-pradesh,2019,1,Recharge & bill payments,121303,26796894.998233315
271,arunachal-pradesh,2019,1,Peer-to-peer payments,93494,568554821.4456317
272,arunachal-pradesh,2019,1,Merchant payments,9214,11727218.401334248
273,arunachal-pradesh,2019,1,Financial Services,256,140622.87093631705
274,arunachal-pradesh,2019,1,Others,2239,2730548.5978140826
275,arunachal-pradesh,2019,2,Recharge & bill payments,131988,30420803.41271234
276,arunachal-pradesh,2019,2,Peer-to-peer payments,106527,704237943.4054435
277,arunachal-pradesh,2019,2,Merchant payments,16828,13955724.130712911
278,arunachal-pradesh,2019,2,Financial Services,267,160660.8821362781
279,arunachal-pradesh,2019,2,Others,3046,3880742.524023137
280,arunachal-pradesh,2019,3,Recharge & bill payments,216228,50946104.94289842
281,arunachal-pradesh,2019,3,Peer-to-peer payments,133484,841037395.2474606
282,arunachal-pradesh,2019,3,Merchant payments,16900,17178248.07427002
283,arunachal-pradesh,2019,3,Financial Services,864,64089.11350267195
284,arunachal-pradesh,2019,3,Others,2758,3419197.4177385764
285,arunachal-pradesh,2019,4,Recharge & bill payments,259183,63516906.09060433
286,arunachal-pradesh,2019,4,Peer-to-peer payments,177833,1100137447.9340453
287,arunachal-pradesh,2019,4,Merchant payments,19769,23192271.691576812
288,arunachal-pradesh,2019,4,Financial Services,314,305379.7987782319
289,arunachal-pradesh,2019,4,Others,2376,3421174.01227797
290,arunachal-pradesh,2020,1,Recharge & bill payments,329834,86011654.77474582
291,arunachal-pradesh,2020,1,Peer-to-peer payments,203429,1263912288.4066367
292,arunachal-pradesh,2020,1,Merchant payments,31181,28553052.133918796
293,arunachal-pradesh,2020,1,Financial Services,470,337812.94816169393
294,arunachal-pradesh,2020,1,Others,2261,2943873.0666838237
295,arunachal-pradesh,2020,2,Recharge & bill payments,522495,145198528.22961134
296,arunachal-pradesh,2020,2,Peer-to-peer payments,247861,1630654426.0441835
297,arunachal-pradesh,2020,2,Merchant payments,35169,46446966.612447515
298,arunachal-pradesh,2020,2,Financial Services,1310,2655507.6964110374
299,arunachal-pradesh,2020,2,Others,1939,1761404.4023099935
300,arunachal-pradesh,2020,3,Recharge & bill payments,514907,153463816.21184397
301,arunachal-pradesh,2020,3,Peer-to-peer payments,370418,2361603431.37578
302,arunachal-pradesh,2020,3,Merchant payments,72736,88145178.69272713
303,arunachal-pradesh,2020,3,Financial Services,1761,4030599.9171272423
304,arunachal-pradesh,2020,3,Others,3005,2695539.3607389224
305,arunachal-pradesh,2020,4,Peer-to-peer payments,522019,3254744938.4105625
306,arunachal-pradesh,2020,4,Recharge & bill payments,513895,152389181.21743062
307,arunachal-pradesh,2020,4,Merchant payments,167387,156682926.02384603
308,arunachal-pradesh,2020,4,Financial Services,1749,2391651.8783250954
309,arunachal-pradesh,2020,4,Others,4079,4055324.315454754
310,arunachal-pradesh,2021,1,Peer-to-peer payments,566209,3460488558.9436507
311,arunachal-pradesh,2021,1,Recharge & bill payments,450649,142358376.9003836
312,arunachal-pradesh,2021,1,Merchant payments,155966,204958020.0891498
313,arunachal-pradesh,2021,1,Financial Services,1558,2672460.4740365944
314,arunachal-pradesh,2021,1,Others,3074,3301662.6094231335
315,arunachal-pradesh,2021,2,Peer-to-peer payments,762946,4000960152.0755496
316,arunachal-pradesh,2021,2,Recharge & bill payments,556680,165579844.25105897
317,arunachal-pradesh,2021,2,Merchant payments,243375,283709438.5363142
318,arunachal-pradesh,2021,2,Financial Services,1582,2761076.7934988844
319,arunachal-pradesh,2021,2,Others,3755,3415105.3379601175
320,arunachal-pradesh,2021,3,Peer-to-peer payments,986088,5033603845.032885
321,arunachal-pradesh,2021,3,Recharge & bill payments,600102,187390578.30403775
322,arunachal-pradesh,2021,3,Merchant payments,314658,449869060.7842621
323,arunachal-pradesh,2021,3,Financial Services,1934,3348547.8272713376
324,arunachal-pradesh,2021,3,Others,4185,3912143.3503634185
325,arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,6022733378.120082
326,arunachal-pradesh,2021,4,Recharge & bill payments,633248,207784816.33218512
327,arunachal-pradesh,2021,4,Merchant payments,521447,704195694.9939187
328,arunachal-pradesh,2021,4,Financial Services,2386,3933557.2795471298
329,arunachal-pradesh,2021,4,Others,5901,4862905.885615055
330,arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,6670641250.45945
331,arunachal-pradesh,2022,1,Merchant payments,720803,917155358.7177179
332,arunachal-pradesh,2022,1,Recharge & bill payments,670576,231933129.00412333
333,arunachal-pradesh,2022,1,Financial Services,3053,3359625.792926075
334,arunachal-pradesh,2022,1,Others,6052,5002264.113148138
335,arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,7627061474.687715
336,arunachal-pradesh,2022,2,Merchant payments,1108353,1255513517.3639429
337,arunachal-pradesh,2022,2,Recharge & bill payments,688770,241162643.19480157
338,arunachal-pradesh,2022,2,Financial Services,2466,4063469.0998270046
339,arunachal-pradesh,2022,2,Others,5768,3864269.879579009
340,arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,7365427284.274204
341,arunachal-pradesh,2022,3,Merchant payments,1316326,1413247143.4889917
342,arunachal-pradesh,2022,3,Recharge & bill payments,649322,238448083.80779752
343,arunachal-pradesh,2022,3,Financial Services,1997,4763324.776043448
344,arunachal-pradesh,2022,3,Others,4687,3224948.7015704075
345,arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,7768088687.67791
346,arunachal-pradesh,2022,4,Merchant payments,1704968,1669602212.9174638
347,arunachal-pradesh,2022,4,Recharge & bill payments,669151,239412553.61214688
348,arunachal-pradesh,2022,4,Financial Services,2617,3785469.3993366556
349,arunachal-pradesh,2022,4,Others,4838,4020773.8953960314
350,arunachal-pradesh,2023,1,Peer-to-peer payments,3879583,13170741327.0
351,arunachal-pradesh,2023,1,Merchant payments,2922784,2802762028.0
352,arunachal-pradesh,2023,1,Recharge & bill payments,1229475,409663161.0
353,arunachal-pradesh,2023,1,Financial Services,4142,6310412.0
354,arunachal-pradesh,2023,1,Others,6841,5101526.0
355,arunachal-pradesh,2023,2,Peer-to-peer payments,4883817,15695323405.0
356,arunachal-pradesh,2023,2,Merchant payments,4091876,3651614280.0
357,arunachal-pradesh,2023,2,Recharge & bill payments,1374689,447452168.0
358,arunachal-pradesh,2023,2,Financial Services,3392,5815474.0
359,arunachal-pradesh,2023,2,Others,6714,5493337.0
360,arunachal-pradesh,2023,3,Peer-to-peer payments,5889357,16351752522.0
361,arunachal-pradesh,2023,3,Merchant payments,5451474,4277046551.0
362,arunachal-pradesh,2023,3,Recharge & bill payments,1450780,482412481.0
363,arunachal-pradesh,2023,3,Financial Services,4825,11365670.0
364,arunachal-pradesh,2023,3,Others,5997,4813862.0
365,arunachal-pradesh,2023,4,Peer-to-peer payments,6678381,18554712209.0
366,arunachal-pradesh,2023,4,Merchant payments,6435278,5043099494.0
367,arunachal-pradesh,2023,4,Recharge & bill payments,1491471,515181105.0
368,arunachal-pradesh,2023,4,Financial Services,5573,11079378.0
369,arunachal-pradesh,2023,4,Others,7039,4727608.0
370,arunachal-pradesh,2024,1,Merchant payments,7491171,5669482843.0
371,arunachal-pradesh,2024,1,Peer-to-peer payments,7238315,19793142980.0
372,arunachal-pradesh,2024,1,Recharge & bill payments,1664938,568014875.0
373,arunachal-pradesh,2024,1,Financial Services,6408,13072238.0
374,arunachal-pradesh,2024,1,Others,5582,3331540.0
375,assam,2018,1,Recharge & bill payments,632092,93491181.14056379
376,assam,2018,1,Peer-to-peer payments,318025,993525195.9818655
377,assam,2018,1,Merchant payments,40482,34501622.89266755
378,assam,2018,1,Financial Services,18172,4936862.200688562
379,assam,2018,1,Others,48110,31349593.99668264
380,assam,2018,2,Recharge & bill payments,984160,174427478.21340805
381,assam,2018,2,Peer-to-peer payments,530781,2064314053.1339972
382,assam,2018,2,Merchant payments,79307,73366344.80739225
383,assam,2018,2,Financial Services,22773,7051504.657611102
